filename,extension,file_size_kb,target_folder
Invoice_Payment_Receipt_11.pdf,.pdf,7149,Documents/Finance
Invoice_Payment_Receipt_12.pdf,.pdf,9720,Documents/Finance
Invoice_Payment_Receipt_13.pdf,.pdf,825,Documents/Finance
Invoice_Payment_Receipt_14.pdf,.pdf,8276,Documents/Finance
Invoice_Payment_Receipt_15.pdf,.pdf,3202,Documents/Finance
Invoice_Payment_Receipt_16.pdf,.pdf,1635,Documents/Finance
Invoice_Payment_Receipt_17.pdf,.pdf,3993,Documents/Finance
Invoice_Payment_Receipt_18.pdf,.pdf,7605,Documents/Finance
Invoice_Payment_Receipt_19.pdf,.pdf,3123,Documents/Finance
Tax_Return_Form_1.pdf,.pdf,1071,Documents/Finance
Tax_Return_Form_2.pdf,.pdf,3893,Documents/Finance
Tax_Return_Form_3.pdf,.pdf,8039,Documents/Finance
Tax_Return_Form_4.pdf,.pdf,9742,Documents/Finance
Tax_Return_Form_5.pdf,.pdf,6923,Documents/Finance
Tax_Return_Form_6.pdf,.pdf,5725,Documents/Finance
Tax_Return_Form_7.pdf,.pdf,211,Documents/Finance
Tax_Return_Form_8.pdf,.pdf,4347,Documents/Finance
Tax_Return_Form_9.pdf,.pdf,1045,Documents/Finance
Tax_Return_Form_10.pdf,.pdf,7679,Documents/Finance
Tax_Return_Form_11.pdf,.pdf,9517,Documents/Finance
Tax_Return_Form_12.pdf,.pdf,1066,Documents/Finance
Tax_Return_Form_13.pdf,.pdf,7919,Documents/Finance
Tax_Return_Form_14.pdf,.pdf,6489,Documents/Finance
Tax_Return_Form_15.pdf,.pdf,7942,Documents/Finance
Tax_Return_Form_16.pdf,.pdf,6913,Documents/Finance
Tax_Return_Form_17.pdf,.pdf,7966,Documents/Finance
Tax_Return_Form_18.pdf,.pdf,8579,Documents/Finance
Tax_Return_Form_19.pdf,.pdf,928,Documents/Finance
UI_Mockup_Design_v1.png,.png,9318,Images/Design
UI_Mockup_Design_v2.png,.png,4937,Images/Design
UI_Mockup_Design_v3.png,.png,4909,Images/Design
UI_Mockup_Design_v4.png,.png,6381,Images/Design
UI_Mockup_Design_v5.png,.png,8621,Images/Design
UI_Mockup_Design_v6.png,.png,8734,Images/Design
UI_Mockup_Design_v7.png,.png,7258,Images/Design
UI_Mockup_Design_v8.png,.png,5326,Images/Design
UI_Mockup_Design_v9.png,.png,2112,Images/Design
UI_Mockup_Design_v10.png,.png,114,Images/Design
UI_Mockup_Design_v11.png,.png,8056,Images/Design
UI_Mockup_Design_v12.png,.png,2618,Images/Design
UI_Mockup_Design_v13.png,.png,5513,Images/Design
UI_Mockup_Design_v14.png,.png,2077,Images/Design
UI_Mockup_Design_v15.png,.png,2745,Images/Design
UI_Mockup_Design_v16.png,.png,9737,Images/Design
UI_Mockup_Design_v17.png,.png,5308,Images/Design
UI_Mockup_Design_v18.png,.png,5668,Images/Design
UI_Mockup_Design_v19.png,.png,6786,Images/Design
Logo_Vector_Asset_1.svg,.svg,441,Images/Design
Logo_Vector_Asset_2.svg,.svg,5942,Images/Design
Logo_Vector_Asset_3.svg,.svg,3611,Images/Design
Logo_Vector_Asset_4.svg,.svg,6234,Images/Design
Logo_Vector_Asset_5.svg,.svg,3149,Images/Design
Logo_Vector_Asset_6.svg,.svg,6328,Images/Design
Logo_Vector_Asset_7.svg,.svg,8442,Images/Design
Logo_Vector_Asset_8.svg,.svg,3154,Images/Design
Logo_Vector_Asset_9.svg,.svg,7265,Images/Design
Logo_Vector_Asset_10.svg,.svg,2504,Images/Design
Logo_Vector_Asset_11.svg,.svg,9046,Images/Design
Logo_Vector_Asset_12.svg,.svg,2781,Images/Design
Logo_Vector_Asset_13.svg,.svg,8204,Images/Design
Logo_Vector_Asset_14.svg,.svg,9812,Images/Design
Logo_Vector_Asset_15.svg,.svg,5106,Images/Design
Logo_Vector_Asset_16.svg,.svg,8160,Images/Design
Logo_Vector_Asset_17.svg,.svg,3890,Images/Design
Logo_Vector_Asset_18.svg,.svg,1078,Images/Design
Logo_Vector_Asset_19.svg,.svg,7435,Images/Design
script_runner_1.py,.py,552,Projects/Code
script_runner_2.py,.py,6960,Projects/Code
script_runner_3.py,.py,9112,Projects/Code
script_runner_4.py,.py,6988,Projects/Code
script_runner_5.py,.py,4538,Projects/Code
script_runner_6.py,.py,256,Projects/Code
script_runner_7.py,.py,5184,Projects/Code
script_runner_8.py,.py,6027,Projects/Code
script_runner_9.py,.py,7771,Projects/Code
script_runner_10.py,.py,7085,Projects/Code
script_runner_11.py,.py,1534,Projects/Code
script_runner_12.py,.py,7908,Projects/Code
script_runner_13.py,.py,913,Projects/Code
script_runner_14.py,.py,2840,Projects/Code
script_runner_15.py,.py,7458,Projects/Code
script_runner_16.py,.py,8805,Projects/Code
script_runner_17.py,.py,5166,Projects/Code
script_runner_18.py,.py,6069,Projects/Code
script_runner_19.py,.py,1807,Projects/Code
index_component_1.js,.js,7624,Projects/Code
index_component_2.js,.js,6424,Projects/Code
index_component_3.js,.js,6942,Projects/Code
index_component_4.js,.js,1728,Projects/Code
index_component_5.js,.js,3292,Projects/Code
index_component_6.js,.js,4686,Projects/Code
index_component_7.js,.js,1109,Projects/Code
index_component_8.js,.js,6718,Projects/Code
index_component_9.js,.js,9964,Projects/Code
index_component_10.js,.js,3207,Projects/Code
index_component_11.js,.js,5965,Projects/Code
index_component_12.js,.js,9839,Projects/Code
index_component_13.js,.js,2743,Projects/Code
index_component_14.js,.js,3677,Projects/Code
index_component_15.js,.js,9605,Projects/Code
index_component_16.js,.js,5500,Projects/Code
index_component_17.js,.js,1713,Projects/Code
index_component_18.js,.js,9771,Projects/Code
index_component_19.js,.js,5642,Projects/Code
Python_Software_Installer_1.exe,.exe,7442,Downloads/Installers
Python_Software_Installer_2.exe,.exe,1356,Downloads/Installers
Python_Software_Installer_3.exe,.exe,6826,Downloads/Installers
Python_Software_Installer_4.exe,.exe,5914,Downloads/Installers
Python_Software_Installer_5.exe,.exe,9524,Downloads/Installers
Python_Software_Installer_6.exe,.exe,7576,Downloads/Installers
Python_Software_Installer_7.exe,.exe,8951,Downloads/Installers
Python_Software_Installer_8.exe,.exe,5625,Downloads/Installers
Python_Software_Installer_9.exe,.exe,5580,Downloads/Installers
Python_Software_Installer_10.exe,.exe,4463,Downloads/Installers
Python_Software_Installer_11.exe,.exe,3798,Downloads/Installers
Python_Software_Installer_12.exe,.exe,713,Downloads/Installers
Python_Software_Installer_13.exe,.exe,2048,Downloads/Installers
Python_Software_Installer_14.exe,.exe,8044,Downloads/Installers
Python_Software_Installer_15.exe,.exe,1545,Downloads/Installers
Python_Software_Installer_16.exe,.exe,3354,Downloads/Installers
Python_Software_Installer_17.exe,.exe,3813,Downloads/Installers
Python_Software_Installer_18.exe,.exe,5282,Downloads/Installers
Python_Software_Installer_19.exe,.exe,1903,Downloads/Installers
VSCode_Setup_1.exe,.exe,6635,Downloads/Installers
VSCode_Setup_2.exe,.exe,1341,Downloads/Installers
VSCode_Setup_3.exe,.exe,3631,Downloads/Installers
VSCode_Setup_4.exe,.exe,7604,Downloads/Installers
VSCode_Setup_5.exe,.exe,7330,Downloads/Installers
VSCode_Setup_6.exe,.exe,1686,Downloads/Installers
VSCode_Setup_7.exe,.exe,3746,Downloads/Installers
VSCode_Setup_8.exe,.exe,748,Downloads/Installers
VSCode_Setup_9.exe,.exe,4787,Downloads/Installers
VSCode_Setup_10.exe,.exe,904,Downloads/Installers
VSCode_Setup_11.exe,.exe,8214,Downloads/Installers
VSCode_Setup_12.exe,.exe,5905,Downloads/Installers
VSCode_Setup_13.exe,.exe,7442,Downloads/Installers
VSCode_Setup_14.exe,.exe,6578,Downloads/Installers
VSCode_Setup_15.exe,.exe,5299,Downloads/Installers
VSCode_Setup_16.exe,.exe,5222,Downloads/Installers
VSCode_Setup_17.exe,.exe,1757,Downloads/Installers
VSCode_Setup_18.exe,.exe,5841,Downloads/Installers
VSCode_Setup_19.exe,.exe,9975,Downloads/Installers
